rel_path,input_bytes,tokens,elapsed_s,output_path,output_bytes
data-00000-of-00080.arrow,498140816,128436320,167.38745949603617,/mnt/nvme/openwebtext_bin/data-00000-of-00080.arrow.bin,513745280
data-00001-of-00080.arrow,502266296,129563403,167.15064648771659,/mnt/nvme/openwebtext_bin/data-00001-of-00080.arrow.bin,518253612
data-00002-of-00080.arrow,500341664,129321823,166.17777902912349,/mnt/nvme/openwebtext_bin/data-00002-of-00080.arrow.bin,517287292
data-00003-of-00080.arrow,500501920,129110169,166.57936388999224,/mnt/nvme/openwebtext_bin/data-00003-of-00080.arrow.bin,516440676
data-00004-of-00080.arrow,494620208,127722188,165.44813100015745,/mnt/nvme/openwebtext_bin/data-00004-of-00080.arrow.bin,510888752
data-00005-of-00080.arrow,495823920,127917651,165.57261062134057,/mnt/nvme/openwebtext_bin/data-00005-of-00080.arrow.bin,511670604
data-00006-of-00080.arrow,499819840,129083402,165.76281000114977,/mnt/nvme/openwebtext_bin/data-00006-of-00080.arrow.bin,516333608
data-00007-of-00080.arrow,493248472,127163680,163.4663385632448,/mnt/nvme/openwebtext_bin/data-00007-of-00080.arrow.bin,508654720
data-00008-of-00080.arrow,497316720,128368609,164.5129022160545,/mnt/nvme/openwebtext_bin/data-00008-of-00080.arrow.bin,513474436
data-00009-of-00080.arrow,497505616,128375501,165.70843137102202,/mnt/nvme/openwebtext_bin/data-00009-of-00080.arrow.bin,513502004
data-00010-of-00080.arrow,496781584,128040600,164.73773135105148,/mnt/nvme/openwebtext_bin/data-00010-of-00080.arrow.bin,512162400
data-00011-of-00080.arrow,498339480,128465993,164.8887859317474,/mnt/nvme/openwebtext_bin/data-00011-of-00080.arrow.bin,513863972
data-00012-of-00080.arrow,496777576,128109174,165.23778548883274,/mnt/nvme/openwebtext_bin/data-00012-of-00080.arrow.bin,512436696
data-00013-of-00080.arrow,495452656,127978511,164.80179841537029,/mnt/nvme/openwebtext_bin/data-00013-of-00080.arrow.bin,511914044
data-00014-of-00080.arrow,499768736,128957047,165.836847668048,/mnt/nvme/openwebtext_bin/data-00014-of-00080.arrow.bin,515828188
data-00015-of-00080.arrow,498498600,128536589,164.96136268693954,/mnt/nvme/openwebtext_bin/data-00015-of-00080.arrow.bin,514146356
data-00016-of-00080.arrow,500181288,129030600,165.74813240906224,/mnt/nvme/openwebtext_bin/data-00016-of-00080.arrow.bin,516122400
data-00017-of-00080.arrow,495311760,127737492,163.78793247276917,/mnt/nvme/openwebtext_bin/data-00017-of-00080.arrow.bin,510949968
data-00018-of-00080.arrow,495080232,127611659,163.4729316229932,/mnt/nvme/openwebtext_bin/data-00018-of-00080.arrow.bin,510446636
data-00019-of-00080.arrow,495645128,127621040,164.43100682273507,/mnt/nvme/openwebtext_bin/data-00019-of-00080.arrow.bin,510484160
data-00020-of-00080.arrow,499684288,129106676,166.59844633331522,/mnt/nvme/openwebtext_bin/data-00020-of-00080.arrow.bin,516426704
data-00021-of-00080.arrow,498986840,128781708,166.527370584663,/mnt/nvme/openwebtext_bin/data-00021-of-00080.arrow.bin,515126832
data-00022-of-00080.arrow,500523936,129001259,166.03703378373757,/mnt/nvme/openwebtext_bin/data-00022-of-00080.arrow.bin,516005036
data-00023-of-00080.arrow,502532744,129661681,167.2352574719116,/mnt/nvme/openwebtext_bin/data-00023-of-00080.arrow.bin,518646724
data-00024-of-00080.arrow,493566720,127532633,164.58258895529434,/mnt/nvme/openwebtext_bin/data-00024-of-00080.arrow.bin,510130532
data-00025-of-00080.arrow,499009848,129049766,165.900272204075,/mnt/nvme/openwebtext_bin/data-00025-of-00080.arrow.bin,516199064
data-00026-of-00080.arrow,494028816,127539883,164.32250352809206,/mnt/nvme/openwebtext_bin/data-00026-of-00080.arrow.bin,510159532
data-00027-of-00080.arrow,495429488,128058817,165.11512974323705,/mnt/nvme/openwebtext_bin/data-00027-of-00080.arrow.bin,512235268
data-00028-of-00080.arrow,496832936,128239640,165.66372892307118,/mnt/nvme/openwebtext_bin/data-00028-of-00080.arrow.bin,512958560
data-00029-of-00080.arrow,497505560,128202828,165.59337549004704,/mnt/nvme/openwebtext_bin/data-00029-of-00080.arrow.bin,512811312
data-00030-of-00080.arrow,491636048,126908096,163.84255666704848,/mnt/nvme/openwebtext_bin/data-00030-of-00080.arrow.bin,507632384
data-00031-of-00080.arrow,497502720,128408875,166.12884763488546,/mnt/nvme/openwebtext_bin/data-00031-of-00080.arrow.bin,513635500
data-00032-of-00080.arrow,498544152,128606940,166.17106458730996,/mnt/nvme/openwebtext_bin/data-00032-of-00080.arrow.bin,514427760
data-00033-of-00080.arrow,495261200,127959869,165.8951903101988,/mnt/nvme/openwebtext_bin/data-00033-of-00080.arrow.bin,511839476
data-00034-of-00080.arrow,498230968,128731342,166.2994015701115,/mnt/nvme/openwebtext_bin/data-00034-of-00080.arrow.bin,514925368
data-00035-of-00080.arrow,495263368,127816843,166.12310452898964,/mnt/nvme/openwebtext_bin/data-00035-of-00080.arrow.bin,511267372
data-00036-of-00080.arrow,498904576,128636828,166.56810393882915,/mnt/nvme/openwebtext_bin/data-00036-of-00080.arrow.bin,514547312
data-00037-of-00080.arrow,497147544,128158139,166.00702383974567,/mnt/nvme/openwebtext_bin/data-00037-of-00080.arrow.bin,512632556
data-00038-of-00080.arrow,496702360,128405722,165.78439555875957,/mnt/nvme/openwebtext_bin/data-00038-of-00080.arrow.bin,513622888
data-00039-of-00080.arrow,495689136,127938210,164.95446442486718,/mnt/nvme/openwebtext_bin/data-00039-of-00080.arrow.bin,511752840
data-00040-of-00080.arrow,499180504,128886913,166.15354610607028,/mnt/nvme/openwebtext_bin/data-00040-of-00080.arrow.bin,515547652
data-00041-of-00080.arrow,500311192,129314772,165.7963558798656,/mnt/nvme/openwebtext_bin/data-00041-of-00080.arrow.bin,517259088
data-00042-of-00080.arrow,496241824,127834142,167.90515530388802,/mnt/nvme/openwebtext_bin/data-00042-of-00080.arrow.bin,511336568
data-00043-of-00080.arrow,502183848,129854773,167.86975415190682,/mnt/nvme/openwebtext_bin/data-00043-of-00080.arrow.bin,519419092
data-00044-of-00080.arrow,495839016,128117240,163.32962809689343,/mnt/nvme/openwebtext_bin/data-00044-of-00080.arrow.bin,512468960
data-00045-of-00080.arrow,498772192,128920616,165.81774798501283,/mnt/nvme/openwebtext_bin/data-00045-of-00080.arrow.bin,515682464
data-00046-of-00080.arrow,497450136,128264475,165.80423335311934,/mnt/nvme/openwebtext_bin/data-00046-of-00080.arrow.bin,513057900
data-00047-of-00080.arrow,497457016,128246985,165.39097665809095,/mnt/nvme/openwebtext_bin/data-00047-of-00080.arrow.bin,512987940
data-00048-of-00080.arrow,497384872,128529073,167.08222595974803,/mnt/nvme/openwebtext_bin/data-00048-of-00080.arrow.bin,514116292
