rel_path,input_bytes,tokens,elapsed_s,output_path,output_bytes
data-00000-of-00080.arrow,498140816,128436320,183.89724834263325,/mnt/nvme/openwebtext_bin/data-00000-of-00080.arrow.bin,513745280
data-00001-of-00080.arrow,502266296,129563403,185.78057216992602,/mnt/nvme/openwebtext_bin/data-00001-of-00080.arrow.bin,518253612
data-00002-of-00080.arrow,500341664,129321823,184.2198360110633,/mnt/nvme/openwebtext_bin/data-00002-of-00080.arrow.bin,517287292
data-00003-of-00080.arrow,500501920,129110169,184.16794693423435,/mnt/nvme/openwebtext_bin/data-00003-of-00080.arrow.bin,516440676
data-00004-of-00080.arrow,494620208,127722188,183.13427870022133,/mnt/nvme/openwebtext_bin/data-00004-of-00080.arrow.bin,510888752
data-00005-of-00080.arrow,495823920,127917651,181.09118194459006,/mnt/nvme/openwebtext_bin/data-00005-of-00080.arrow.bin,511670604
data-00006-of-00080.arrow,499819840,129083402,183.39784794254228,/mnt/nvme/openwebtext_bin/data-00006-of-00080.arrow.bin,516333608
data-00007-of-00080.arrow,493248472,127163680,181.12207046383992,/mnt/nvme/openwebtext_bin/data-00007-of-00080.arrow.bin,508654720
data-00008-of-00080.arrow,497316720,128368609,183.73243646882474,/mnt/nvme/openwebtext_bin/data-00008-of-00080.arrow.bin,513474436
data-00009-of-00080.arrow,497505616,128375501,182.6399739556946,/mnt/nvme/openwebtext_bin/data-00009-of-00080.arrow.bin,513502004
data-00010-of-00080.arrow,496781584,128040600,183.26335571007803,/mnt/nvme/openwebtext_bin/data-00010-of-00080.arrow.bin,512162400
data-00011-of-00080.arrow,498339480,128465993,184.9727172232233,/mnt/nvme/openwebtext_bin/data-00011-of-00080.arrow.bin,513863972
data-00012-of-00080.arrow,496777576,128109174,182.4569121231325,/mnt/nvme/openwebtext_bin/data-00012-of-00080.arrow.bin,512436696
data-00013-of-00080.arrow,495452656,127978511,182.26073341164738,/mnt/nvme/openwebtext_bin/data-00013-of-00080.arrow.bin,511914044
data-00014-of-00080.arrow,499768736,128957047,185.64965814584866,/mnt/nvme/openwebtext_bin/data-00014-of-00080.arrow.bin,515828188
data-00015-of-00080.arrow,498498600,128536589,182.406098713167,/mnt/nvme/openwebtext_bin/data-00015-of-00080.arrow.bin,514146356
data-00016-of-00080.arrow,500181288,129030600,183.71924238326028,/mnt/nvme/openwebtext_bin/data-00016-of-00080.arrow.bin,516122400
data-00017-of-00080.arrow,495311760,127737492,183.57263991469517,/mnt/nvme/openwebtext_bin/data-00017-of-00080.arrow.bin,510949968
data-00018-of-00080.arrow,495080232,127611659,180.20006625307724,/mnt/nvme/openwebtext_bin/data-00018-of-00080.arrow.bin,510446636
data-00019-of-00080.arrow,495645128,127621040,182.15039667114615,/mnt/nvme/openwebtext_bin/data-00019-of-00080.arrow.bin,510484160
data-00020-of-00080.arrow,499684288,129106676,184.33422695100307,/mnt/nvme/openwebtext_bin/data-00020-of-00080.arrow.bin,516426704
data-00021-of-00080.arrow,498986840,128781708,185.12307944940403,/mnt/nvme/openwebtext_bin/data-00021-of-00080.arrow.bin,515126832
data-00022-of-00080.arrow,500523936,129001259,184.0858154608868,/mnt/nvme/openwebtext_bin/data-00022-of-00080.arrow.bin,516005036
data-00023-of-00080.arrow,502532744,129661681,185.53086867090315,/mnt/nvme/openwebtext_bin/data-00023-of-00080.arrow.bin,518646724
data-00024-of-00080.arrow,493566720,127532633,183.19101969804615,/mnt/nvme/openwebtext_bin/data-00024-of-00080.arrow.bin,510130532
data-00025-of-00080.arrow,499009848,129049766,183.5900536319241,/mnt/nvme/openwebtext_bin/data-00025-of-00080.arrow.bin,516199064
data-00026-of-00080.arrow,494028816,127539883,180.75496193720028,/mnt/nvme/openwebtext_bin/data-00026-of-00080.arrow.bin,510159532
data-00027-of-00080.arrow,495429488,128058817,183.0478949798271,/mnt/nvme/openwebtext_bin/data-00027-of-00080.arrow.bin,512235268
data-00028-of-00080.arrow,496832936,128239640,181.53373525105417,/mnt/nvme/openwebtext_bin/data-00028-of-00080.arrow.bin,512958560
data-00029-of-00080.arrow,497505560,128202828,184.88948165113106,/mnt/nvme/openwebtext_bin/data-00029-of-00080.arrow.bin,512811312
data-00030-of-00080.arrow,491636048,126908096,181.67808552691713,/mnt/nvme/openwebtext_bin/data-00030-of-00080.arrow.bin,507632384
data-00031-of-00080.arrow,497502720,128408875,184.0948614627123,/mnt/nvme/openwebtext_bin/data-00031-of-00080.arrow.bin,513635500
data-00032-of-00080.arrow,498544152,128606940,183.3781155650504,/mnt/nvme/openwebtext_bin/data-00032-of-00080.arrow.bin,514427760
data-00033-of-00080.arrow,495261200,127959869,182.47288763709366,/mnt/nvme/openwebtext_bin/data-00033-of-00080.arrow.bin,511839476
