workers,elapsed_s,throughput_MBps,throughput_tokens_per_s,avg_cpu_busy_pct_all,avg_busy_core_equivalent,efficiency_pct_vs_workers
1,13276.590054460336,2.85679410423253,773241.8568991729,8.719999999999999,1.0463999999999998,100.0
2,7341.6070936908945,5.166237270377608,1398333.5005522475,17.25,2.07,100.0
4,4453.956088160165,8.515684358163933,2304920.6017746516,33.870000000000005,4.064400000000001,100.0
16,3242.1264189099893,11.698644436155632,3166445.048879821,99.5,11.94,99.5
32,3300.7940175710246,11.490715261234385,3110165.3397186277,99.71,11.9652,99.71
64,3303.764519546181,11.480383655522926,3107368.9078815407,99.68,11.9616,99.68
