rel_path,input_bytes,tokens,elapsed_s,output_path,output_bytes
data-00000-of-00080.arrow,498140816,128436320,2653.685345034115,/mnt/nvme/openwebtext_bin/data-00000-of-00080.arrow.bin,513745280
data-00001-of-00080.arrow,502266296,129563403,2667.2706505320966,/mnt/nvme/openwebtext_bin/data-00001-of-00080.arrow.bin,518253612
data-00002-of-00080.arrow,500341664,129321823,2700.162050737068,/mnt/nvme/openwebtext_bin/data-00002-of-00080.arrow.bin,517287292
data-00003-of-00080.arrow,500501920,129110169,2702.804968111217,/mnt/nvme/openwebtext_bin/data-00003-of-00080.arrow.bin,516440676
data-00004-of-00080.arrow,494620208,127722188,2658.8192657739855,/mnt/nvme/openwebtext_bin/data-00004-of-00080.arrow.bin,510888752
data-00005-of-00080.arrow,495823920,127917651,2588.3484160779044,/mnt/nvme/openwebtext_bin/data-00005-of-00080.arrow.bin,511670604
data-00006-of-00080.arrow,499819840,129083402,2663.673849386163,/mnt/nvme/openwebtext_bin/data-00006-of-00080.arrow.bin,516333608
data-00007-of-00080.arrow,493248472,127163680,2668.0669564129785,/mnt/nvme/openwebtext_bin/data-00007-of-00080.arrow.bin,508654720
data-00008-of-00080.arrow,497316720,128368609,2632.61815006705,/mnt/nvme/openwebtext_bin/data-00008-of-00080.arrow.bin,513474436
data-00009-of-00080.arrow,497505616,128375501,2672.2907713637687,/mnt/nvme/openwebtext_bin/data-00009-of-00080.arrow.bin,513502004
data-00010-of-00080.arrow,496781584,128040600,2598.730957381893,/mnt/nvme/openwebtext_bin/data-00010-of-00080.arrow.bin,512162400
data-00011-of-00080.arrow,498339480,128465993,2665.5590107240714,/mnt/nvme/openwebtext_bin/data-00011-of-00080.arrow.bin,513863972
data-00012-of-00080.arrow,496777576,128109174,2673.972089839168,/mnt/nvme/openwebtext_bin/data-00012-of-00080.arrow.bin,512436696
data-00013-of-00080.arrow,495452656,127978511,2667.784408694133,/mnt/nvme/openwebtext_bin/data-00013-of-00080.arrow.bin,511914044
data-00014-of-00080.arrow,499768736,128957047,2596.850692864973,/mnt/nvme/openwebtext_bin/data-00014-of-00080.arrow.bin,515828188
data-00015-of-00080.arrow,498498600,128536589,2684.114195762668,/mnt/nvme/openwebtext_bin/data-00015-of-00080.arrow.bin,514146356
data-00016-of-00080.arrow,500181288,129030600,2671.702644892037,/mnt/nvme/openwebtext_bin/data-00016-of-00080.arrow.bin,516122400
data-00017-of-00080.arrow,495311760,127737492,2668.2707729251124,/mnt/nvme/openwebtext_bin/data-00017-of-00080.arrow.bin,510949968
data-00018-of-00080.arrow,495080232,127611659,2618.5913469372317,/mnt/nvme/openwebtext_bin/data-00018-of-00080.arrow.bin,510446636
