workers,elapsed_s,throughput_MBps,throughput_tokens_per_s,avg_cpu_busy_pct_all,avg_busy_core_equivalent,efficiency_pct_vs_workers,io_total_MBps,io_read_MBps,io_write_MBps,io_util_pct,io_r_await_ms,io_w_await_ms,io_aqu_sz
1,13232.871765926015,2.866232278435471,775796.465694958,8.739999999999995,1.0487999999999993,100.0,5.827037389299306,2.865569085968193,2.961468303331114,5.333579631308552,2.564201420368691,1.1879714415231188,0.47229676639468116
2,7310.558337355964,5.188178856064264,1404272.3788335088,17.22,2.0664,100.0,10.54598054939585,5.185778224445413,5.360202324950437,9.56197019414821,3.3829942575881873,1.7820823079026524,0.8947607328411266
4,4430.4373350208625,8.560889439081961,2317156.1565381354,34.0,4.08,100.0,17.391776295387913,8.55411453047474,8.837661764913172,15.56734100135318,3.8589625620207486,2.5536513306269732,1.3221673432566532
16,3240.1384103992023,11.705822217397664,3168387.842337628,99.31,11.917200000000001,99.31,23.776901487338115,11.691432168203631,12.085469319134482,21.20846438482886,3.9469596053037312,2.9558556891766883,1.7922571692876965
32,3296.0789054329507,11.507152977854,3114614.498481348,99.75,11.97,99.75,23.376599466058977,11.492791574083725,11.883807891975252,20.693735597331717,3.8632413583990295,3.2608368708308064,1.760748938750758
64,3301.796293250285,11.487227200972404,3109221.2345099417,99.7,11.964,99.7,23.343513143667664,11.474141181007724,11.86937196265994,20.552692307692308,3.8750090854027865,2.646777710478498,2.0539127801332526
